pair_label,mt,delta_t,tm,tb,main_relay_id,backup_relay_id,line,fault,status
R71-R52,-1.2028999999999999,-1.2028999999999999,2.8956,1.8927,R71,R52,L9-15,90,Descoordinado
R9-R71,-0.4389999999999999,-0.4389999999999999,2.239,2.0,R9,R71,L9-10,10,Descoordinado
R9-R8,-0.4389999999999999,-0.4389999999999999,2.239,2.0,R9,R8,L9-10,10,Descoordinado
R45-R71,-0.43740000000000007,-0.43740000000000007,2.2374,2.0,R45,R71,L8-9,90,Descoordinado
R45-R46,-0.43740000000000007,-0.43740000000000007,2.2374,2.0,R45,R46,L8-9,90,Descoordinado
R71-R14,-0.42960000000000004,-0.42960000000000004,2.8956,2.666,R71,R14,L9-15,90,Descoordinado
R46-R47,-0.2277,-0.2277,0.2128,0.1851,R46,R47,L9-10,90,Descoordinado
R34-R46,-0.1811000000000001,-0.1811000000000001,1.9811,2.0,R34,R46,L9-15,10,Descoordinado
R34-R8,-0.1811000000000001,-0.1811000000000001,1.9811,2.0,R34,R8,L9-15,10,Descoordinado
R2-R1,-0.17970000000000003,-0.17970000000000003,1.9797,2.0,R2,R1,L2-3,10,Descoordinado
R17-R16,-0.006999999999999951,-0.006999999999999951,2.4196,2.6126,R17,R16,L17-18,10,Descoordinado
R63-R64,0.0,0.07570000000000005,1.7136,1.9893,R63,R64,L26-27,90,Coordinado
R30-R29,0.0,0.04619999999999996,1.7864,2.0326,R30,R29,L30-31,10,Coordinado
R40-R41,0.0,0.02690000000000009,2.0537,2.2806,R40,R41,L3-4,90,Coordinado
R74-R66,0.0,0.06,1.6942,1.9542,R74,R66,L25-29,90,Coordinado
R3-R59,0.0,0.06649999999999995,1.7619,2.0284,R3,R59,L3-4,10,Coordinado
R3-R2,0.0,0.18650000000000005,1.7619,2.1484,R3,R2,L3-4,10,Coordinado
R59-R60,0.0,0.015199999999999825,1.723,1.9382,R59,R60,L3-23,90,Coordinado
R22-R40,0.0,0.05649999999999972,1.9408,2.1973,R22,R40,L3-23,10,Coordinado
R22-R2,0.0,0.007599999999999996,1.9408,2.1484,R22,R2,L3-23,10,Coordinado
R66-R67,0.0,0.07439999999999997,1.8243,2.0987,R66,R67,L29-30,90,Coordinado
R29-R37,0.0,0.03449999999999992,1.9504,2.1849,R29,R37,L29-30,10,Coordinado
R29-R28,0.0,0.026400000000000146,1.9504,2.1768,R29,R28,L29-30,10,Coordinado
R65-R66,0.0,0.3348999999999999,1.4193,1.9542,R65,R66,L28-29,90,Coordinado
R67-R68,0.0,0.03019999999999995,1.8653,2.0955,R67,R68,L30-31,90,Coordinado
R28-R27,0.0,0.024999999999999856,1.8936,2.1186,R28,R27,L28-29,10,Coordinado
R64-R65,0.0,0.014099999999999946,1.4417,1.6558,R64,R65,L27-28,90,Coordinado
R27-R26,0.0,0.018499999999999905,1.8385,2.057,R27,R26,L27-28,10,Coordinado
R26-R25,0.0,0.013000000000000289,1.9826,2.1956,R26,R25,L26-27,10,Coordinado
R65-R37,0.0,0.6042999999999998,1.4193,2.2236,R65,R37,L28-29,90,Coordinado
R69-R36,0.0,0.01700000000000007,2.2234,2.4404,R69,R36,L32-33,90,Coordinado
R68-R69,0.0,0.09579999999999983,2.0106,2.3064,R68,R69,L31-32,90,Coordinado
R8-R70,0.0,2.1437,0.283,2.6267,R8,R70,L8-9,10,Coordinado
