pair_label,mt,delta_t,tm,tb,main_relay_id,backup_relay_id,line,fault,status
R45-R71,-1.2581181145233233,-1.2581181145233233,2.2928,1.2346818854766768,R45,R71,L8-9,90,Descoordinado
R71-R52,-0.7078,-0.7078,2.8956,2.3878,R71,R52,L9-15,90,Descoordinado
R9-R8,-0.6919314392050191,-0.6919314392050191,2.0675,1.5755685607949808,R9,R8,L9-10,10,Descoordinado
R71-R14,-0.4418,-0.4418,2.8956,2.6538,R71,R14,L9-15,90,Descoordinado
R45-R46,-0.2650440674912489,-0.2650440674912489,2.2928,2.2277559325087513,R45,R46,L8-9,90,Descoordinado
R46-R47,-0.2259,-0.2259,0.2128,0.1869,R46,R47,L9-10,90,Descoordinado
R2-R1,-0.16893019574692564,-0.16893019574692564,2.1559,2.1869698042530743,R2,R1,L2-3,10,Descoordinado
R10-R9,-0.10590000000000038,-0.10590000000000038,2.2503,2.3444,R10,R9,L10-11,10,Descoordinado
R12-R11,-0.012500000000000011,-0.012500000000000011,2.0115,2.199,R12,R11,L12-13,10,Descoordinado
R26-R25,0.0,0.06150000000000028,1.9284,2.1899,R26,R25,L26-27,10,Coordinado
R67-R68,0.0,0.03859999999999991,1.8056,2.0442,R67,R68,L30-31,90,Coordinado
R30-R29,0.0,0.00359999999999977,1.747,1.9506,R30,R29,L30-31,10,Coordinado
R40-R41,0.0,0.03249999999999992,2.1709,2.4034,R40,R41,L3-4,90,Coordinado
R3-R59,0.0,0.06950000000000006,1.7482,2.0177,R3,R59,L3-4,10,Coordinado
R3-R2,0.0,0.3848000000000002,1.7482,2.333,R3,R2,L3-4,10,Coordinado
R59-R60,0.0,0.022999999999999854,1.6826,1.9056,R59,R60,L3-23,90,Coordinado
R22-R40,0.0,0.05939999999999984,2.0594,2.3188,R22,R40,L3-23,10,Coordinado
R22-R2,0.0,0.07360000000000005,2.0594,2.333,R22,R2,L3-23,10,Coordinado
R66-R67,0.0,0.06600000000000023,1.7566,2.0226,R66,R67,L29-30,90,Coordinado
R29-R37,0.0,0.060500000000000165,1.8732,2.1337,R29,R37,L29-30,10,Coordinado
R29-R28,0.0,0.030600000000000127,1.8732,2.1038,R29,R28,L29-30,10,Coordinado
R31-R30,0.0,0.04449999999999993,1.6644,1.9089,R31,R30,L31-32,10,Coordinado
R65-R37,0.0,0.48620000000000013,1.4835,2.1697,R65,R37,L28-29,90,Coordinado
R28-R27,0.0,0.012100000000000166,1.8368,2.0489,R28,R27,L28-29,10,Coordinado
R64-R65,0.0,0.035999999999999976,1.4986,1.7346,R64,R65,L27-28,90,Coordinado
R63-R64,0.0,0.042499999999999705,1.8479,2.0904,R63,R64,L26-27,90,Coordinado
R27-R26,0.0,0.029799999999999993,1.7757,2.0055,R27,R26,L27-28,10,Coordinado
