pair_label,mt,delta_t,tm,tb,main_relay_id,backup_relay_id,line,fault,status
R41-R42,-0.2503,-0.2503,1.2708,1.2205,R41,R42,L4-5,90,Descoordinado
R58-R35,-0.1136000000000002,-0.1136000000000002,1.0595,1.1459,R58,R35,L21-22,90,Descoordinado
R4-R3,-0.09200000000000014,-0.09200000000000014,1.6805,1.7885,R4,R3,L4-5,10,Descoordinado
R25-R5,-0.09090000000000004,-0.09090000000000004,1.7601,1.8692,R25,R5,L6-26,10,Descoordinado
R38-R39,0.0,0.7619,0.1714,1.1333,R38,R39,L1-2,90,Coordinado
R67-R68,0.0,0.05239999999999995,1.202,1.4544,R67,R68,L30-31,90,Coordinado
R30-R29,0.0,0.06660000000000016,1.8951,2.1617,R30,R29,L30-31,10,Coordinado
R40-R41,0.0,0.0005999999999998784,1.2289,1.4295,R40,R41,L3-4,90,Coordinado
R3-R59,0.0,0.15610000000000007,1.2102,1.5663,R3,R59,L3-4,10,Coordinado
R3-R2,0.0,0.03589999999999999,1.2102,1.4461,R3,R2,L3-4,10,Coordinado
R59-R60,0.0,0.03150000000000003,1.0099,1.2414,R59,R60,L3-23,90,Coordinado
R22-R40,0.0,0.06360000000000005,1.196,1.4596,R22,R40,L3-23,10,Coordinado
R22-R2,0.0,0.055000000000000104,1.196,1.451,R22,R2,L3-23,10,Coordinado
R66-R67,0.0,0.012099999999999944,1.111,1.3231,R66,R67,L29-30,90,Coordinado
R29-R37,0.0,0.1063,1.5954,1.9017,R29,R37,L29-30,10,Coordinado
R29-R28,0.0,0.033999999999999975,1.5954,1.8294,R29,R28,L29-30,10,Coordinado
R65-R66,0.0,0.022699999999999998,0.9609,1.1836,R65,R66,L28-29,90,Coordinado
R65-R37,0.0,0.75,0.9609,1.9109,R65,R37,L28-29,90,Coordinado
R28-R27,0.0,0.011899999999999966,1.6554,1.8673,R28,R27,L28-29,10,Coordinado
R64-R65,0.0,0.05340000000000006,1.3344,1.5878,R64,R65,L27-28,90,Coordinado
R27-R26,0.0,0.008599999999999886,1.6188,1.8274,R27,R26,L27-28,10,Coordinado
R63-R64,0.0,0.043000000000000094,1.3248,1.5678,R63,R64,L26-27,90,Coordinado
R26-R25,0.0,0.060399999999999954,1.7311,1.9915,R26,R25,L26-27,10,Coordinado
R74-R66,0.0,0.014099999999999946,0.9579,1.172,R74,R66,L25-29,90,Coordinado
R31-R30,0.0,0.017699999999999994,1.9016,2.1193,R31,R30,L31-32,10,Coordinado
R68-R69,0.0,0.0017999999999999683,1.4133,1.6151,R68,R69,L31-32,90,Coordinado
R69-R36,0.0,0.019000000000000072,1.5568,1.7758,R69,R36,L32-33,90,Coordinado
R74-R28,0.0,0.6715,0.9579,1.8294,R74,R28,L25-29,90,Coordinado
R34-R46,0.0,0.06819999999999998,1.33,1.5982,R34,R46,L9-15,10,Coordinado
R34-R8,0.0,0.08239999999999997,1.33,1.6124,R34,R8,L9-15,10,Coordinado
R46-R47,0.0,0.027300000000000046,1.0706,1.2979,R46,R47,L9-10,90,Coordinado
R9-R71,0.0,0.6324000000000001,1.1273,1.9597,R9,R71,L9-10,10,Coordinado
R9-R8,0.0,0.19569999999999993,1.1273,1.523,R9,R8,L9-10,10,Coordinado
R45-R71,0.0,0.2522999999999999,1.2069,1.6592,R45,R71,L8-9,90,Coordinado
R45-R46,0.0,0.03529999999999983,1.2069,1.4422,R45,R46,L8-9,90,Coordinado
R8-R70,0.0,0.4473,1.0448,1.6921,R8,R70,L8-9,10,Coordinado
R8-R7,0.0,0.020600000000000118,1.0448,1.2654,R8,R7,L8-9,10,Coordinado
R32-R31,0.0,0.007500000000000007,1.7624,1.9699,R32,R31,L32-33,10,Coordinado
R44-R45,0.0,0.008500000000000119,1.4277,1.6362,R44,R45,L7-8,90,Coordinado
R7-R6,0.0,0.08970000000000006,1.1477,1.4374,R7,R6,L7-8,10,Coordinado
R43-R44,0.0,0.20769999999999994,1.8555,2.2632,R43,R44,L6-7,90,Coordinado
R6-R62,0.0,0.07449999999999996,0.9881,1.2626,R6,R62,L6-7,10,Coordinado
R6-R5,0.0,0.6863000000000001,0.9881,1.8744,R6,R5,L6-7,10,Coordinado
R62-R63,0.0,0.013600000000000001,1.1904,1.404,R62,R63,L6-26,90,Coordinado
R25-R43,0.0,0.0013000000000000234,1.7601,1.9614,R25,R43,L6-26,10,Coordinado
R42-R62,0.0,0.5929,0.4867,1.2796,R42,R62,L5-6,90,Coordinado
R42-R43,0.0,1.292,0.4867,1.9787,R42,R43,L5-6,90,Coordinado
R5-R4,0.0,0.02799999999999997,1.6405,1.8685,R5,R4,L5-6,10,Coordinado
R44-R70,0.0,0.016199999999999937,1.4277,1.6439,R44,R70,L7-8,90,Coordinado
R37-R24,0.0,0.015999999999999737,1.7854,2.0014,R37,R24,L25-29,10,Coordinado
R61-R74,0.0,0.02689999999999987,1.0759,1.3028,R61,R74,L24-25,90,Coordinado
R24-R23,0.0,0.04560000000000003,1.7488,1.9944,R24,R23,L24-25,10,Coordinado
R54-R73,0.0,0.00930000000000003,1.4926,1.7019,R54,R73,L17-18,90,Coordinado
R17-R16,0.0,0.0340000000000002,1.8168,2.0508,R17,R16,L17-18,10,Coordinado
R53-R54,0.0,0.028900000000000092,1.3655,1.5944,R53,R54,L16-17,90,Coordinado
R16-R15,0.0,0.0017999999999999683,1.7773,1.9791,R16,R15,L16-17,10,Coordinado
R52-R53,0.0,0.007699999999999985,1.3373,1.545,R52,R53,L15-16,90,Coordinado
R15-R34,0.0,0.07960000000000006,1.4764,1.756,R15,R34,L15-16,10,Coordinado
R15-R14,0.0,0.09400000000000003,1.4764,1.7704,R15,R14,L15-16,10,Coordinado
R51-R34,0.0,0.3953999999999999,1.1606,1.756,R51,R34,L14-15,90,Coordinado
R51-R52,0.0,0.06849999999999995,1.1606,1.4291,R51,R52,L14-15,90,Coordinado
R14-R13,0.0,0.03250000000000014,1.6133,1.8458,R14,R13,L14-15,10,Coordinado
R50-R51,0.0,0.01050000000000012,1.3433,1.5538,R50,R51,L13-14,90,Coordinado
R13-R12,0.0,0.0116,1.6591,1.8707,R13,R12,L13-14,10,Coordinado
R49-R50,0.0,0.02449999999999991,1.2439,1.4684,R49,R50,L12-13,90,Coordinado
R12-R72,0.0,0.5415000000000001,0.8785,1.62,R12,R72,L12-13,10,Coordinado
R12-R11,0.0,0.10359999999999997,0.8785,1.1821,R12,R11,L12-13,10,Coordinado
R48-R72,0.0,0.15689999999999998,1.2359,1.5928,R48,R72,L11-12,90,Coordinado
R48-R49,0.0,0.12459999999999999,1.2359,1.5605,R48,R49,L11-12,90,Coordinado
R11-R10,0.0,0.0020000000000001683,1.1058,1.3078,R11,R10,L11-12,10,Coordinado
R47-R48,0.0,0.020800000000000096,1.2429,1.4637,R47,R48,L10-11,90,Coordinado
R10-R9,0.0,0.03899999999999987,1.2716,1.5106,R10,R9,L10-11,10,Coordinado
R38-R55,0.0,0.9018000000000002,0.1714,1.2732,R38,R55,L1-2,90,Coordinado
R36-R17,0.0,0.005400000000000016,1.7105,1.9159,R36,R17,L18-33,10,Coordinado
R71-R14,0.0,1.1118999999999999,0.5217,1.8336,R71,R14,L9-15,90,Coordinado
R73-R32,0.0,0.01050000000000012,1.6256,1.8361,R73,R32,L18-33,90,Coordinado
R56-R57,0.0,0.029300000000000048,0.7625,0.9918,R56,R57,L19-20,90,Coordinado
R60-R61,0.0,0.02989999999999987,0.9906,1.2205,R60,R61,L23-24,90,Coordinado
R23-R22,0.0,0.08150000000000007,1.6632,1.9447,R23,R22,L23-24,10,Coordinado
R35-R49,0.0,1.5996000000000001,0.3494,2.149,R35,R49,L12-22,90,Coordinado
R35-R11,0.0,0.9314,0.3494,1.4808,R35,R11,L12-22,90,Coordinado
R72-R21,0.0,0.04360000000000003,1.2721,1.5157,R72,R21,L12-22,10,Coordinado
R70-R20,0.0,0.011000000000000065,1.0352,1.2462,R70,R20,L8-21,90,Coordinado
R70-R58,0.0,0.06790000000000002,1.0352,1.3031,R70,R58,L8-21,90,Coordinado
R33-R45,0.0,0.8312000000000002,0.7954,1.8266,R33,R45,L8-21,10,Coordinado
R33-R7,0.0,0.3036999999999999,0.7954,1.2991,R33,R7,L8-21,10,Coordinado
R21-R33,0.0,0.1397,0.7811,1.1208,R21,R33,L21-22,10,Coordinado
R21-R20,0.0,0.24509999999999993,0.7811,1.2262,R21,R20,L21-22,10,Coordinado
R57-R33,0.0,0.12240000000000001,0.7758,1.0982,R57,R33,L20-21,90,Coordinado
R57-R58,0.0,0.24079999999999985,0.7758,1.2166,R57,R58,L20-21,90,Coordinado
R20-R19,0.0,0.07200000000000001,1.1465,1.4185,R20,R19,L20-21,10,Coordinado
R39-R59,0.0,0.7255999999999998,0.5309,1.4565,R39,R59,L2-3,90,Coordinado
R39-R40,0.0,0.6941999999999999,0.5309,1.4251,R39,R40,L2-3,90,Coordinado
R2-R55,0.0,0.006900000000000073,1.3004,1.5073,R2,R55,L2-3,10,Coordinado
R2-R1,0.0,0.03120000000000006,1.3004,1.5316,R2,R1,L2-3,10,Coordinado
R55-R56,0.0,0.04849999999999993,0.9694,1.2179,R55,R56,L2-19,90,Coordinado
R18-R39,0.0,0.08129999999999987,1.0498,1.3311,R18,R39,L2-19,10,Coordinado
R18-R1,0.0,0.2698,1.0498,1.5196,R18,R1,L2-19,10,Coordinado
R19-R18,0.0,0.00020000000000003348,0.9866,1.1868,R19,R18,L19-20,10,Coordinado
R71-R52,0.0,0.7447999999999999,0.5217,1.4665,R71,R52,L9-15,90,Coordinado
